T	H	UB

1	2	30000
3	2	30000
4	3	30000
5	4	30000
6	5	30000
6	7	30000
8	7	30000
8	27	30000
9	8	30000
9	10	30000
10	6	30000
11	5	30000
11	6	30000
12	4	30000
12	11	30000
12	13	30000
13	3	30000
13	14	30000
14	1	30000
14	22	30000
15	14	30000
15	16	30000
15	23	30000
16	12	30000
16	13	30000
17	11	30000
17	12	30000
18	10	30000
18	17	30000
19	9	30000
19	10	30000
19	25	30000
20	18	30000
20	19	100000
21	16	100000
21	18	100000
22	1	30000
22	31	30000
23	14	30000
23	22	30000
23	31	30000
23	32	30000
24	25	100000
24	30	100000
25	9	30000
25	26	30000
25	28	30000
25	29	30000
26	9	30000
26	28	30000
27	34	30000
28	27	30000
28	32	30000
29	28	30000
30	23	30000
30	29	30000
30	32	30000
31	32	30000
32	33	30000
33	34	30000
35	15	100000
35	20	100000
35	21	100000
35	24	100000
